LONGITUDE,LATITUDE,PHOTO_URL
46.2933,39.6509,PhotoFile4Wildfire/39.6509_46.2933_65.png
46.664,39.4833,PhotoFile4Wildfire/39.4833_46.664_82.png
49.00449,39.22233,PhotoFile4Wildfire/39.22233_49.00449_n.png
46.6315,39.482,PhotoFile4Wildfire/39.482_46.6315_59.png
49.09214,41.28715,PhotoFile4Wildfire/41.28715_49.09214_n.png
48.58704,40.02881,PhotoFile4Wildfire/40.02881_48.58704_l.png
46.64083,40.21391,PhotoFile4Wildfire/40.21391_46.64083_n.png
46.3382,39.6487,PhotoFile4Wildfire/39.6487_46.3382_82.png
48.8177,41.1977,PhotoFile4Wildfire/41.1977_48.8177_53.png
48.82301,38.8643,PhotoFile4Wildfire/38.8643_48.82301_n.png
46.9696,39.5038,PhotoFile4Wildfire/39.5038_46.9696_79.png
46.95816,39.5057,PhotoFile4Wildfire/39.5057_46.95816_n.png
46.4831,39.426,PhotoFile4Wildfire/39.426_46.4831_76.png
46.82683,40.11453,PhotoFile4Wildfire/40.11453_46.82683_mock.png
46.83538,40.1132,PhotoFile4Wildfire/40.1132_46.83538_mock.png
46.5879,39.4832,PhotoFile4Wildfire/39.4832_46.5879_94.png
46.7884,39.38971,PhotoFile4Wildfire/39.38971_46.7884_n.png
48.4333,39.8088,PhotoFile4Wildfire/39.8088_48.4333_73.png
46.29036,39.6442,PhotoFile4Wildfire/39.6442_46.29036_n.png
46.9758,39.507,PhotoFile4Wildfire/39.507_46.9758_73.png
46.26968,41.55225,PhotoFile4Wildfire/41.55225_46.26968_mock.png
46.6505,40.2557,PhotoFile4Wildfire/40.2557_46.6505_50.png
47.16105,39.28959,PhotoFile4Wildfire/39.28959_47.16105_n.png
46.7225,39.2005,PhotoFile4Wildfire/39.2005_46.7225_27.png
46.5644,39.7206,PhotoFile4Wildfire/39.7206_46.5644_n.png
44.7295,39.6899,PhotoFile4Wildfire/39.6899_44.7295_100.png
46.9022,39.2804,PhotoFile4Wildfire/39.2804_46.9022_84.png
46.3014,39.73467,PhotoFile4Wildfire/39.73467_46.3014_n.png
46.7617,39.4734,PhotoFile4Wildfire/39.4734_46.7617_63.png
49.30238,39.325,PhotoFile4Wildfire/39.325_49.30238_h.png
46.835,41.1866,PhotoFile4Wildfire/41.1866_46.835_92.png
47.72738,39.73814,PhotoFile4Wildfire/39.73814_47.72738_n.png
46.52683,39.34657,PhotoFile4Wildfire/39.34657_46.52683_n.png
46.9613,39.5067,PhotoFile4Wildfire/39.5067_46.9613_95.png
46.57548,39.3913,PhotoFile4Wildfire/39.3913_46.57548_n.png
47.13758,39.3607,PhotoFile4Wildfire/39.3607_47.13758_h.png
47.25251,39.43571,PhotoFile4Wildfire/39.43571_47.25251_n.png
48.71451,39.22309,PhotoFile4Wildfire/39.22309_48.71451_n.png
48.0734,38.767,PhotoFile4Wildfire/38.767_48.0734_90.png
46.573,39.3866,PhotoFile4Wildfire/39.3866_46.573_86.png
46.5097,39.3325,PhotoFile4Wildfire/39.3325_46.5097_52.png
46.54413,39.52213,PhotoFile4Wildfire/39.52213_46.54413_n.png
46.50835,39.32672,PhotoFile4Wildfire/39.32672_46.50835_n.png
46.77834,41.22696,PhotoFile4Wildfire/41.22696_46.77834_mock.png
46.29561,39.6452,PhotoFile4Wildfire/39.6452_46.29561_n.png
46.83757,39.27164,PhotoFile4Wildfire/39.27164_46.83757_n.png
46.6889,39.4869,PhotoFile4Wildfire/39.4869_46.6889_48.png
46.3482,39.6609,PhotoFile4Wildfire/39.6609_46.3482_67.png
47.19798,41.55221,PhotoFile4Wildfire/41.55221_47.19798_n.png
46.4029,40.9301,PhotoFile4Wildfire/40.9301_46.4029_76.png
46.3349,39.6585,PhotoFile4Wildfire/39.6585_46.3349_69.png
46.6613,39.493,PhotoFile4Wildfire/39.493_46.6613_92.png
46.9799,39.6694,PhotoFile4Wildfire/39.6694_46.9799_65.png
47.09109,39.35409,PhotoFile4Wildfire/39.35409_47.09109_n.png
46.22734,41.54783,PhotoFile4Wildfire/41.54783_46.22734_n.png
48.82368,41.211,PhotoFile4Wildfire/41.211_48.82368_l.png
46.81226,40.10762,PhotoFile4Wildfire/40.10762_46.81226_mock.png
49.17218,39.7088,PhotoFile4Wildfire/39.7088_49.17218_h.png
46.72246,39.20681,PhotoFile4Wildfire/39.20681_46.72246_n.png
49.1557,39.6798,PhotoFile4Wildfire/39.6798_49.1557_91.png
48.67097,39.34544,PhotoFile4Wildfire/39.34544_48.67097_n.png
46.6624,40.2573,PhotoFile4Wildfire/40.2573_46.6624_64.png
46.29822,39.65881,PhotoFile4Wildfire/39.65881_46.29822_n.png
46.82612,40.11317,PhotoFile4Wildfire/40.11317_46.82612_mock.png
46.1383,39.693,PhotoFile4Wildfire/39.693_46.1383_68.png
46.50491,39.74551,PhotoFile4Wildfire/39.74551_46.50491_n.png
47.35108,39.84528,PhotoFile4Wildfire/39.84528_47.35108_n.png
46.57444,39.4078,PhotoFile4Wildfire/39.4078_46.57444_n.png
47.3147,40.28,PhotoFile4Wildfire/40.28_47.3147_43.png
46.68719,40.33442,PhotoFile4Wildfire/40.33442_46.68719_n.png
48.86846,39.10347,PhotoFile4Wildfire/39.10347_48.86846_n.png
46.4746,39.42463,PhotoFile4Wildfire/39.42463_46.4746_n.png
46.9157,41.2636,PhotoFile4Wildfire/41.2636_46.9157_53.png
46.80169,39.18289,PhotoFile4Wildfire/39.18289_46.80169_l.png
47.26111,39.43808,PhotoFile4Wildfire/39.43808_47.26111_n.png
46.97208,39.4586,PhotoFile4Wildfire/39.4586_46.97208_l.png
47.29765,39.55713,PhotoFile4Wildfire/39.55713_47.29765_n.png
46.47367,39.42789,PhotoFile4Wildfire/39.42789_46.47367_n.png
48.82645,38.86312,PhotoFile4Wildfire/38.86312_48.82645_n.png
48.44664,40.07693,PhotoFile4Wildfire/40.07693_48.44664_n.png
46.9876,39.673,PhotoFile4Wildfire/39.673_46.9876_100.png
47.1759,39.4782,PhotoFile4Wildfire/39.4782_47.1759_85.png
48.8414,39.11994,PhotoFile4Wildfire/39.11994_48.8414_n.png
47.27212,39.43523,PhotoFile4Wildfire/39.43523_47.27212_h.png
46.1492,39.70508,PhotoFile4Wildfire/39.70508_46.1492_n.png
46.7959,39.1745,PhotoFile4Wildfire/39.1745_46.7959_49.png
46.96631,39.6673,PhotoFile4Wildfire/39.6673_46.96631_n.png
48.24852,39.98664,PhotoFile4Wildfire/39.98664_48.24852_n.png
46.5936,39.3795,PhotoFile4Wildfire/39.3795_46.5936_89.png
46.845,39.3033,PhotoFile4Wildfire/39.3033_46.845_89.png
46.80222,39.17209,PhotoFile4Wildfire/39.17209_46.80222_n.png
46.6599,39.4923,PhotoFile4Wildfire/39.4923_46.6599_80.png
46.2068,39.7175,PhotoFile4Wildfire/39.7175_46.2068_78.png
47.42238,41.116,PhotoFile4Wildfire/41.116_47.42238_h.png
46.97301,39.65734,PhotoFile4Wildfire/39.65734_46.97301_n.png
46.84319,39.25574,PhotoFile4Wildfire/39.25574_46.84319_n.png
46.34244,39.65042,PhotoFile4Wildfire/39.65042_46.34244_n.png
49.1133,41.2373,PhotoFile4Wildfire/41.2373_49.1133_74.png
46.4217,40.9284,PhotoFile4Wildfire/40.9284_46.4217_86.png
46.6377,40.7559,PhotoFile4Wildfire/40.7559_46.6377_73.png
46.83127,39.26173,PhotoFile4Wildfire/39.26173_46.83127_n.png
46.47807,39.4286,PhotoFile4Wildfire/39.4286_46.47807_l.png
46.76131,39.46906,PhotoFile4Wildfire/39.46906_46.76131_l.png
46.042,39.7939,PhotoFile4Wildfire/39.7939_46.042_39.png
46.2532,39.7004,PhotoFile4Wildfire/39.7004_46.2532_81.png
46.55116,39.32739,PhotoFile4Wildfire/39.32739_46.55116_n.png
46.86148,39.29766,PhotoFile4Wildfire/39.29766_46.86148_n.png
47.61425,39.67819,PhotoFile4Wildfire/39.67819_47.61425_n.png
46.76578,39.4697,PhotoFile4Wildfire/39.4697_46.76578_n.png
46.18753,39.74386,PhotoFile4Wildfire/39.74386_46.18753_n.png
47.52966,39.73537,PhotoFile4Wildfire/39.73537_47.52966_n.png
46.28194,39.7424,PhotoFile4Wildfire/39.7424_46.28194_l.png
46.84032,39.26368,PhotoFile4Wildfire/39.26368_46.84032_n.png
48.7849,39.1701,PhotoFile4Wildfire/39.1701_48.7849_48.png
47.30112,39.5706,PhotoFile4Wildfire/39.5706_47.30112_h.png
46.53968,39.32505,PhotoFile4Wildfire/39.32505_46.53968_n.png
47.60876,39.67713,PhotoFile4Wildfire/39.67713_47.60876_n.png
48.8116,41.2148,PhotoFile4Wildfire/41.2148_48.8116_93.png
48.79605,38.81188,PhotoFile4Wildfire/38.81188_48.79605_n.png
48.6727,39.2115,PhotoFile4Wildfire/39.2115_48.6727_84.png
46.669,40.2468,PhotoFile4Wildfire/40.2468_46.669_76.png
48.25792,39.98828,PhotoFile4Wildfire/39.98828_48.25792_n.png
48.794,41.2131,PhotoFile4Wildfire/41.2131_48.794_92.png
46.66759,40.26693,PhotoFile4Wildfire/40.26693_46.66759_n.png
46.7243,39.2063,PhotoFile4Wildfire/39.2063_46.7243_74.png
46.286,39.7277,PhotoFile4Wildfire/39.7277_46.286_86.png
46.9708,39.4544,PhotoFile4Wildfire/39.4544_46.9708_80.png
46.69353,39.46952,PhotoFile4Wildfire/39.46952_46.69353_n.png
46.66302,40.25586,PhotoFile4Wildfire/40.25586_46.66302_n.png
46.473,39.7286,PhotoFile4Wildfire/39.7286_46.473_72.png
47.18211,39.4814,PhotoFile4Wildfire/39.4814_47.18211_n.png
46.68432,39.47318,PhotoFile4Wildfire/39.47318_46.68432_n.png
46.70684,39.40705,PhotoFile4Wildfire/39.40705_46.70684_n.png
48.858,39.0827,PhotoFile4Wildfire/39.0827_48.858_34.png
46.325,39.6463,PhotoFile4Wildfire/39.6463_46.325_59.png
47.3064,41.0355,PhotoFile4Wildfire/41.0355_47.3064_53.png
46.67661,40.26045,PhotoFile4Wildfire/40.26045_46.67661_n.png
46.0989,40.0181,PhotoFile4Wildfire/40.0181_46.0989_58.png
46.37893,40.92482,PhotoFile4Wildfire/40.92482_46.37893_n.png
46.3695,39.2345,PhotoFile4Wildfire/39.2345_46.3695_82.png
46.67153,40.26778,PhotoFile4Wildfire/40.26778_46.67153_n.png
48.86703,39.09603,PhotoFile4Wildfire/39.09603_48.86703_n.png
46.5767,39.3914,PhotoFile4Wildfire/39.3914_46.5767_95.png
47.8213,39.6504,PhotoFile4Wildfire/39.6504_47.8213_n.png
46.1586,39.7297,PhotoFile4Wildfire/39.7297_46.1586_84.png
47.5701,39.9268,PhotoFile4Wildfire/39.9268_47.5701_49.png
46.6504,40.7543,PhotoFile4Wildfire/40.7543_46.6504_61.png
46.9497,39.2609,PhotoFile4Wildfire/39.2609_46.9497_87.png
48.8462,39.1108,PhotoFile4Wildfire/39.1108_48.8462_0.png
47.41299,41.1135,PhotoFile4Wildfire/41.1135_47.41299_n.png
48.67874,39.34799,PhotoFile4Wildfire/39.34799_48.67874_h.png
46.62306,39.52647,PhotoFile4Wildfire/39.52647_46.62306_n.png
46.14015,39.7349,PhotoFile4Wildfire/39.7349_46.14015_n.png
46.1721,39.7523,PhotoFile4Wildfire/39.7523_46.1721_91.png
46.65519,40.24575,PhotoFile4Wildfire/40.24575_46.65519_n.png
46.47709,39.72267,PhotoFile4Wildfire/39.72267_46.47709_n.png
47.0156,39.6087,PhotoFile4Wildfire/39.6087_47.0156_83.png
49.00314,39.2262,PhotoFile4Wildfire/39.2262_49.00314_l.png
46.67546,40.24787,PhotoFile4Wildfire/40.24787_46.67546_n.png
46.3835,40.9264,PhotoFile4Wildfire/40.9264_46.3835_55.png
47.23951,39.4404,PhotoFile4Wildfire/39.4404_47.23951_h.png
46.12917,39.74177,PhotoFile4Wildfire/39.74177_46.12917_n.png
47.83068,39.73634,PhotoFile4Wildfire/39.73634_47.83068_n.png
46.98116,39.65585,PhotoFile4Wildfire/39.65585_46.98116_n.png
47.1615,39.28561,PhotoFile4Wildfire/39.28561_47.1615_n.png
46.6239,39.22494,PhotoFile4Wildfire/39.22494_46.6239_n.png
46.8962,39.6948,PhotoFile4Wildfire/39.6948_46.8962_71.png
46.6623,40.2526,PhotoFile4Wildfire/40.2526_46.6623_58.png
46.97131,39.66153,PhotoFile4Wildfire/39.66153_46.97131_h.png
46.86802,39.72694,PhotoFile4Wildfire/39.72694_46.86802_n.png
48.68026,39.22826,PhotoFile4Wildfire/39.22826_48.68026_n.png
46.5578,39.7666,PhotoFile4Wildfire/39.7666_46.5578_57.png
46.7491,40.6056,PhotoFile4Wildfire/40.6056_46.7491_78.png
46.25208,41.49476,PhotoFile4Wildfire/41.49476_46.25208_l.png
46.27091,39.6498,PhotoFile4Wildfire/39.6498_46.27091_n.png
47.26534,39.42477,PhotoFile4Wildfire/39.42477_47.26534_n.png
46.5761,39.3761,PhotoFile4Wildfire/39.3761_46.5761_82.png
47.25132,39.6179,PhotoFile4Wildfire/39.6179_47.25132_l.png
46.9454,39.5037,PhotoFile4Wildfire/39.5037_46.9454_41.png
48.8682,39.11527,PhotoFile4Wildfire/39.11527_48.8682_n.png
46.82906,40.12014,PhotoFile4Wildfire/40.12014_46.82906_mock.png
46.65722,40.24724,PhotoFile4Wildfire/40.24724_46.65722_n.png
46.2536,39.7609,PhotoFile4Wildfire/39.7609_46.2536_88.png
46.56527,39.77744,PhotoFile4Wildfire/39.77744_46.56527_n.png
45.7783,40.9587,PhotoFile4Wildfire/40.9587_45.7783_70.png
47.22941,39.43811,PhotoFile4Wildfire/39.43811_47.22941_h.png
48.87681,39.08378,PhotoFile4Wildfire/39.08378_48.87681_n.png
48.4481,39.8061,PhotoFile4Wildfire/39.8061_48.4481_76.png
48.86372,39.12438,PhotoFile4Wildfire/39.12438_48.86372_l.png
46.09393,39.63311,PhotoFile4Wildfire/39.63311_46.09393_n.png
46.63905,41.02169,PhotoFile4Wildfire/41.02169_46.63905_n.png
46.84278,39.29866,PhotoFile4Wildfire/39.29866_46.84278_n.png
48.86703,39.11891,PhotoFile4Wildfire/39.11891_48.86703_n.png
46.83783,40.12017,PhotoFile4Wildfire/40.12017_46.83783_mock.png
46.9664,39.6548,PhotoFile4Wildfire/39.6548_46.9664_100.png
46.8607,39.7737,PhotoFile4Wildfire/39.7737_46.8607_42.png
46.13856,39.7356,PhotoFile4Wildfire/39.7356_46.13856_n.png
46.9923,39.66301,PhotoFile4Wildfire/39.66301_46.9923_n.png
47.12638,39.27203,PhotoFile4Wildfire/39.27203_47.12638_n.png
46.69797,39.47022,PhotoFile4Wildfire/39.47022_46.69797_n.png
46.86804,39.30933,PhotoFile4Wildfire/39.30933_46.86804_n.png
46.29827,39.6576,PhotoFile4Wildfire/39.6576_46.29827_n.png
47.25006,39.42966,PhotoFile4Wildfire/39.42966_47.25006_n.png
47.24092,39.42359,PhotoFile4Wildfire/39.42359_47.24092_h.png
47.96909,39.70391,PhotoFile4Wildfire/39.70391_47.96909_n.png
46.82382,39.17931,PhotoFile4Wildfire/39.17931_46.82382_l.png
47.6073,39.6678,PhotoFile4Wildfire/39.6678_47.6073_83.png
47.60478,39.7929,PhotoFile4Wildfire/39.7929_47.60478_h.png
46.0791,39.6371,PhotoFile4Wildfire/39.6371_46.0791_96.png
47.71641,39.81824,PhotoFile4Wildfire/39.81824_47.71641_mock.png
47.02804,39.66152,PhotoFile4Wildfire/39.66152_47.02804_n.png
45.1702,41.0042,PhotoFile4Wildfire/41.0042_45.1702_45.png
46.91447,39.28134,PhotoFile4Wildfire/39.28134_46.91447_n.png
46.29876,39.73714,PhotoFile4Wildfire/39.73714_46.29876_l.png
46.13254,39.73741,PhotoFile4Wildfire/39.73741_46.13254_n.png
46.5659,39.4076,PhotoFile4Wildfire/39.4076_46.5659_62.png
46.8138,39.1753,PhotoFile4Wildfire/39.1753_46.8138_61.png
46.5868,39.3799,PhotoFile4Wildfire/39.3799_46.5868_97.png
46.98793,39.6744,PhotoFile4Wildfire/39.6744_46.98793_n.png
48.80088,41.21362,PhotoFile4Wildfire/41.21362_48.80088_n.png
46.5694,39.7682,PhotoFile4Wildfire/39.7682_46.5694_85.png
46.67635,39.10062,PhotoFile4Wildfire/39.10062_46.67635_n.png
48.92626,39.00875,PhotoFile4Wildfire/39.00875_48.92626_h.png
46.9629,39.5093,PhotoFile4Wildfire/39.5093_46.9629_91.png
46.9767,39.4566,PhotoFile4Wildfire/39.4566_46.9767_70.png
48.153,39.229,PhotoFile4Wildfire/39.229_48.153_67.png
46.50791,39.34479,PhotoFile4Wildfire/39.34479_46.50791_n.png
46.96076,39.51535,PhotoFile4Wildfire/39.51535_46.96076_n.png
46.6561,40.2494,PhotoFile4Wildfire/40.2494_46.6561_85.png
49.144,39.6814,PhotoFile4Wildfire/39.6814_49.144_73.png
46.52788,39.34276,PhotoFile4Wildfire/39.34276_46.52788_n.png
46.1657,39.7546,PhotoFile4Wildfire/39.7546_46.1657_71.png
49.01175,39.22802,PhotoFile4Wildfire/39.22802_49.01175_n.png
46.56397,39.42181,PhotoFile4Wildfire/39.42181_46.56397_n.png
48.869,39.1141,PhotoFile4Wildfire/39.1141_48.869_0.png
46.46788,39.73296,PhotoFile4Wildfire/39.73296_46.46788_l.png
46.6164,39.5213,PhotoFile4Wildfire/39.5213_46.6164_51.png
47.31597,39.58066,PhotoFile4Wildfire/39.58066_47.31597_n.png
47.22058,39.61591,PhotoFile4Wildfire/39.61591_47.22058_n.png
46.7591,39.4595,PhotoFile4Wildfire/39.4595_46.7591_52.png
46.6771,40.2634,PhotoFile4Wildfire/40.2634_46.6771_77.png
46.8618,39.2691,PhotoFile4Wildfire/39.2691_46.8618_85.png
45.88802,40.04394,PhotoFile4Wildfire/40.04394_45.88802_n.png
45.84489,40.04374,PhotoFile4Wildfire/40.04374_45.84489_n.png
46.5744,39.382,PhotoFile4Wildfire/39.382_46.5744_68.png
46.17883,39.7583,PhotoFile4Wildfire/39.7583_46.17883_n.png
46.0231,39.7278,PhotoFile4Wildfire/39.7278_46.0231_70.png
46.86722,39.73241,PhotoFile4Wildfire/39.73241_46.86722_n.png
46.68307,39.47361,PhotoFile4Wildfire/39.47361_46.68307_n.png
46.70882,41.63293,PhotoFile4Wildfire/41.63293_46.70882_n.png
46.5148,39.73304,PhotoFile4Wildfire/39.73304_46.5148_n.png
46.82623,39.19192,PhotoFile4Wildfire/39.19192_46.82623_n.png
46.78922,39.38548,PhotoFile4Wildfire/39.38548_46.78922_n.png
49.41384,39.29489,PhotoFile4Wildfire/39.29489_49.41384_n.png
46.56017,39.72085,PhotoFile4Wildfire/39.72085_46.56017_n.png
47.00845,39.6039,PhotoFile4Wildfire/39.6039_47.00845_n.png
46.84086,39.30769,PhotoFile4Wildfire/39.30769_46.84086_h.png
46.65226,40.2466,PhotoFile4Wildfire/40.2466_46.65226_n.png
45.80774,40.04105,PhotoFile4Wildfire/40.04105_45.80774_n.png
47.28621,39.56055,PhotoFile4Wildfire/39.56055_47.28621_n.png
46.9903,39.4638,PhotoFile4Wildfire/39.4638_46.9903_73.png
47.69939,41.05311,PhotoFile4Wildfire/41.05311_47.69939_h.png
47.1066,41.16785,PhotoFile4Wildfire/41.16785_47.1066_n.png
46.96423,39.66024,PhotoFile4Wildfire/39.66024_46.96423_n.png
48.07494,38.76432,PhotoFile4Wildfire/38.76432_48.07494_h.png
46.98614,39.67443,PhotoFile4Wildfire/39.67443_46.98614_h.png
48.1334,39.7485,PhotoFile4Wildfire/39.7485_48.1334_n.png
46.6559,39.4999,PhotoFile4Wildfire/39.4999_46.6559_21.png
49.1157,41.2284,PhotoFile4Wildfire/41.2284_49.1157_95.png
48.82578,41.2023,PhotoFile4Wildfire/41.2023_48.82578_l.png
49.12542,39.8613,PhotoFile4Wildfire/39.8613_49.12542_n.png
46.80504,39.38321,PhotoFile4Wildfire/39.38321_46.80504_n.png
47.16364,39.35656,PhotoFile4Wildfire/39.35656_47.16364_n.png
46.8136,39.19775,PhotoFile4Wildfire/39.19775_46.8136_n.png
48.82761,38.86366,PhotoFile4Wildfire/38.86366_48.82761_n.png
46.77301,41.22651,PhotoFile4Wildfire/41.22651_46.77301_mock.png
46.65658,39.48314,PhotoFile4Wildfire/39.48314_46.65658_n.png
48.53752,38.40553,PhotoFile4Wildfire/38.40553_48.53752_n.png
46.79727,39.18219,PhotoFile4Wildfire/39.18219_46.79727_l.png
48.8592,39.0846,PhotoFile4Wildfire/39.0846_48.8592_59.png
46.47188,39.7346,PhotoFile4Wildfire/39.7346_46.47188_l.png
46.5455,39.5115,PhotoFile4Wildfire/39.5115_46.5455_54.png
47.22836,39.6246,PhotoFile4Wildfire/39.6246_47.22836_n.png
46.95467,39.5149,PhotoFile4Wildfire/39.5149_46.95467_n.png
46.8477,39.25672,PhotoFile4Wildfire/39.25672_46.8477_n.png
47.0057,39.5998,PhotoFile4Wildfire/39.5998_47.0057_79.png
46.52274,39.73241,PhotoFile4Wildfire/39.73241_46.52274_n.png
46.53422,39.32394,PhotoFile4Wildfire/39.32394_46.53422_n.png
45.7344,39.8689,PhotoFile4Wildfire/39.8689_45.7344_71.png
47.2916,39.56101,PhotoFile4Wildfire/39.56101_47.2916_n.png
46.47605,40.91271,PhotoFile4Wildfire/40.91271_46.47605_l.png
