LATITUDE,LONGITUDE,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,PHOTO_URL
41.2131,48.794,347.4,1.5,1.2,2022-08-16,1017,Aqua,MODIS,92,6.03,317.7,70.0,D,0.0,/PhotoFile4Wildfire/41.2131_48.794_92.png
41.118,47.4348,312.9,3.7,1.8,2022-09-05,823,Terra,MODIS,43,6.03,291.4,50.2,D,0.0,/PhotoFile4Wildfire/41.118_47.4348_43.png
39.6453,46.0876,360.1,1.0,1.0,2022-09-13,735,Terra,MODIS,100,6.03,309.3,76.0,D,0.0,/PhotoFile4Wildfire/39.6453_46.0876_100.png
39.7277,46.286,334.5,4.3,1.9,2022-09-28,829,Terra,MODIS,86,6.03,305.9,229.8,D,0.0,/PhotoFile4Wildfire/39.7277_46.286_86.png
39.727,46.1488,323.6,2.8,1.6,2022-09-30,817,Terra,MODIS,74,6.03,296.3,72.8,D,0.0,/PhotoFile4Wildfire/39.727_46.1488_74.png
39.3249,46.5209,328.3,3.0,1.6,2022-09-30,817,Terra,MODIS,80,6.03,299.4,106.6,D,0.0,/PhotoFile4Wildfire/39.3249_46.5209_80.png
39.3325,46.5097,324.7,2.2,1.4,2022-09-30,935,Aqua,MODIS,52,6.03,301.6,49.2,D,0.0,/PhotoFile4Wildfire/39.3325_46.5097_52.png
39.7486,46.185,323.8,1.0,1.0,2022-10-03,1004,Aqua,MODIS,46,6.03,301.2,13.9,D,0.0,/PhotoFile4Wildfire/39.7486_46.185_46.png
39.6487,46.3382,331.4,1.3,1.1,2022-10-05,952,Aqua,MODIS,82,6.03,303.9,29.5,D,0.0,/PhotoFile4Wildfire/39.6487_46.3382_82.png
39.7239,44.8244,335.1,0.37,0.58,2020-03-12,1042,N20,VIIRS,n,2.0NRT,295.7,3.0,D,,/PhotoFile4Wildfire/39.72392_44.82445_n.png
38.8114,48.8002,334.5,0.56,0.43,2020-08-21,1000,N20,VIIRS,n,2.0NRT,300.9,2.0,D,,/PhotoFile4Wildfire/38.81135_48.80016_n.png
39.4831,46.6566,342.3,0.39,0.36,2020-10-30,948,N20,VIIRS,n,2.0NRT,299.2,4.4,D,,/PhotoFile4Wildfire/39.48314_46.65658_n.png
39.691,46.8952,346.1,0.39,0.36,2020-10-30,948,N20,VIIRS,n,2.0NRT,297.4,5.2,D,,/PhotoFile4Wildfire/39.691_46.89521_n.png
40.2174,46.6306,326.8,0.39,0.36,2020-10-30,948,N20,VIIRS,n,2.0NRT,295.6,1.7,D,,/PhotoFile4Wildfire/40.21738_46.63061_n.png
41.5086,46.5424,342.51,0.43,0.38,2024-03-28,934,N21,VIIRS,n,2.0NRT,297.02,4.49,D,,/PhotoFile4Wildfire/41.50857_46.54239_n.png
39.4393,47.2655,367.0,0.4,0.6,2024-08-05,856,N21,VIIRS,h,2.0NRT,312.59,35.51,D,,/PhotoFile4Wildfire/39.4393_47.26549_h.png
39.4297,47.2501,342.45,0.42,0.61,2024-08-05,1038,N21,VIIRS,n,2.0NRT,306.2,7.62,D,,/PhotoFile4Wildfire/39.42966_47.25006_n.png
39.4404,47.2395,367.0,0.42,0.61,2024-08-05,1038,N21,VIIRS,h,2.0NRT,307.76,20.35,D,,/PhotoFile4Wildfire/39.4404_47.23951_h.png
39.4381,47.2294,367.0,0.42,0.61,2024-08-05,1038,N21,VIIRS,h,2.0NRT,304.55,25.43,D,,/PhotoFile4Wildfire/39.43811_47.22941_h.png
39.8898,46.8191,332.45,0.41,0.37,2024-09-09,941,N21,VIIRS,n,2.0NRT,301.27,4.34,D,,/PhotoFile4Wildfire/39.88976_46.81909_n.png
39.6771,47.6088,328.65,0.48,0.4,2022-02-02,926,N20,VIIRS,n,2.0NRT,291.49,6.68,D,,/PhotoFile4Wildfire/39.67713_47.60876_n.png
39.2405,48.6777,367.0,0.43,0.62,2022-02-04,849,N20,VIIRS,h,2.0NRT,290.61,89.58,D,,/PhotoFile4Wildfire/39.24047_48.67767_h.png
39.9866,48.2485,344.35,0.41,0.37,2022-02-07,934,N20,VIIRS,n,2.0NRT,292.48,4.5,D,,/PhotoFile4Wildfire/39.98664_48.24852_n.png
38.872,48.8239,334.29,0.4,0.44,2022-04-13,915,N20,VIIRS,n,2.0NRT,292.17,2.7,D,,/PhotoFile4Wildfire/38.87197_48.82394_n.png
39.325,49.3024,367.0,0.39,0.59,2022-07-14,850,N20,VIIRS,h,2.0NRT,308.97,9.2,D,,/PhotoFile4Wildfire/39.325_49.30238_h.png
41.2984,48.7522,333.72,0.63,0.72,2022-08-16,833,N20,VIIRS,n,2.0NRT,304.0,3.3,D,,/PhotoFile4Wildfire/41.29842_48.75221_n.png
39.733,46.5148,343.87,0.46,0.39,2022-09-03,934,N20,VIIRS,n,2.0NRT,311.31,8.83,D,,/PhotoFile4Wildfire/39.73304_46.5148_n.png
39.7338,46.4792,342.81,0.46,0.39,2022-09-03,934,N20,VIIRS,l,2.0NRT,316.9,8.22,D,,/PhotoFile4Wildfire/39.73384_46.47916_l.png
39.7324,46.5227,314.53,0.34,0.56,2022-09-03,2331,N20,VIIRS,n,2.0NRT,287.05,1.16,N,,/PhotoFile4Wildfire/39.73241_46.52274_n.png
39.3448,46.5079,346.03,0.41,0.37,2022-09-23,958,N20,VIIRS,n,2.0NRT,307.48,9.14,D,,/PhotoFile4Wildfire/39.34479_46.50791_n.png
39.7374,46.1325,348.59,0.55,0.43,2022-09-30,928,N20,VIIRS,n,2.0NRT,300.4,10.97,D,,/PhotoFile4Wildfire/39.73741_46.13254_n.png
39.3328,46.5186,343.23,0.54,0.42,2022-09-30,928,N20,VIIRS,n,2.0NRT,306.55,7.86,D,,/PhotoFile4Wildfire/39.33284_46.51864_n.png
39.6498,46.2709,298.03,0.34,0.56,2022-10-05,2333,N20,VIIRS,n,2.0NRT,278.06,1.29,N,,/PhotoFile4Wildfire/39.6498_46.27091_n.png
39.4173,46.4822,339.3,0.44,0.62,2021-06-22,856,N,VIIRS,n,2,305.79,7.72,D,0.0,/PhotoFile4Wildfire/39.41731_46.48215_n.png
39.4128,46.4831,347.91,0.44,0.62,2021-06-22,856,N,VIIRS,n,2,306.34,8.74,D,0.0,/PhotoFile4Wildfire/39.4128_46.48309_n.png
39.6031,47.0049,345.61,0.41,0.6,2021-06-22,856,N,VIIRS,n,2,305.69,6.02,D,0.0,/PhotoFile4Wildfire/39.60313_47.00488_n.png
39.4677,46.6894,340.56,0.38,0.59,2021-06-22,1036,N,VIIRS,n,2,309.95,5.7,D,0.0,/PhotoFile4Wildfire/39.4677_46.68945_n.png
39.473,46.6856,367.0,0.38,0.59,2021-06-22,1036,N,VIIRS,h,2,306.82,6.97,D,0.0,/PhotoFile4Wildfire/39.473_46.6856_h.png
39.4658,46.7045,310.88,0.41,0.37,2021-06-22,2255,N,VIIRS,n,2,289.25,0.97,N,0.0,/PhotoFile4Wildfire/39.46583_46.70452_n.png
39.4493,46.7956,336.95,0.35,0.57,2021-06-27,902,N,VIIRS,n,2,305.7,4.25,D,0.0,/PhotoFile4Wildfire/39.44933_46.79562_n.png
39.4814,46.7686,367.0,0.35,0.57,2021-06-27,902,N,VIIRS,h,2,309.17,8.2,D,0.0,/PhotoFile4Wildfire/39.4814_46.76864_h.png
39.4492,46.8,334.03,0.47,0.64,2021-06-27,1043,N,VIIRS,l,2,308.15,3.36,D,0.0,/PhotoFile4Wildfire/39.4492_46.80005_l.png
39.2063,46.617,306.87,0.45,0.39,2021-06-27,2302,N,VIIRS,n,2,292.05,0.6,N,0.0,/PhotoFile4Wildfire/39.20628_46.61699_n.png
39.7302,46.4604,347.26,0.39,0.36,2021-08-06,953,N,VIIRS,n,2,316.52,6.99,D,0.0,/PhotoFile4Wildfire/39.73023_46.46035_n.png
39.659,46.9727,346.6,0.48,0.4,2021-08-16,1005,N,VIIRS,n,2,315.3,31.0,D,0.0,/PhotoFile4Wildfire/39.659_46.97273_n.png
40.2518,46.6566,338.15,0.47,0.4,2021-08-16,1006,N,VIIRS,n,2,302.49,8.59,D,0.0,/PhotoFile4Wildfire/40.2518_46.65656_n.png
39.771,46.5624,348.89,0.56,0.69,2021-08-19,1050,N,VIIRS,n,2,304.18,7.91,D,0.0,/PhotoFile4Wildfire/39.77104_46.56242_n.png
39.7774,46.5598,338.7,0.56,0.69,2021-08-19,1050,N,VIIRS,n,2,300.4,7.91,D,0.0,/PhotoFile4Wildfire/39.7774_46.55976_n.png
41.4444,48.9985,330.17,0.41,0.45,2021-09-17,1006,N,VIIRS,n,2,295.08,1.47,D,0.0,/PhotoFile4Wildfire/41.44443_48.9985_n.png
39.09,48.8636,367.0,0.73,0.76,2021-09-20,1050,N,VIIRS,h,2,293.61,18.77,D,0.0,/PhotoFile4Wildfire/39.09_48.86362_h.png
39.0931,48.8706,297.61,0.45,0.47,2021-09-20,2309,N,VIIRS,n,2,287.13,1.3,N,0.0,/PhotoFile4Wildfire/39.0931_48.87061_n.png
39.1156,48.8678,333.95,0.46,0.47,2021-09-22,1012,N,VIIRS,l,2,306.42,8.53,D,0.0,/PhotoFile4Wildfire/39.1156_48.86784_l.png
39.2063,46.7243,319.5,1.1,1.0,2023-03-14,720,Terra,MODIS,74,61.03,295.2,12.7,D,0.0,/PhotoFile4Wildfire/39.2063_46.7243_74.png
39.2345,46.3695,327.7,1.1,1.1,2023-03-14,720,Terra,MODIS,82,61.03,299.1,25.7,D,0.0,/PhotoFile4Wildfire/39.2345_46.3695_82.png
39.8072,48.4393,343.9,1.3,1.1,2023-08-03,733,Terra,MODIS,90,61.03,305.4,53.4,D,0.0,/PhotoFile4Wildfire/39.8072_48.4393_90.png
41.0355,47.3064,302.7,1.4,1.2,2023-11-04,657,Terra,MODIS,53,61.03,290.2,6.5,D,0.0,/PhotoFile4Wildfire/41.0355_47.3064_53.png
39.4323,47.2411,345.49,0.38,0.36,2024-08-05,945,N20,VIIRS,n,2.0NRT,319.96,43.16,D,,/PhotoFile4Wildfire/39.4323_47.24112_n.png
39.7422,47.8706,343.34,0.6,0.53,2024-09-04,1021,N20,VIIRS,n,2.0NRT,306.84,7.04,D,,/PhotoFile4Wildfire/39.74224_47.87056_n.png
39.74,47.872,342.75,0.6,0.53,2024-09-04,1021,N20,VIIRS,n,2.0NRT,306.18,11.41,D,,/PhotoFile4Wildfire/39.74_47.87196_n.png
39.6811,47.0419,331.02,0.33,0.55,2024-09-09,1030,N20,VIIRS,n,2.0NRT,297.54,2.41,D,,/PhotoFile4Wildfire/39.68112_47.04188_n.png
39.7011,47.064,336.22,0.33,0.55,2024-09-09,1030,N20,VIIRS,n,2.0NRT,300.92,4.34,D,,/PhotoFile4Wildfire/39.7011_47.06396_n.png
39.6533,47.8381,334.4,0.39,0.36,2024-10-24,943,N20,VIIRS,n,2.0NRT,295.78,2.87,D,,/PhotoFile4Wildfire/39.6533_47.8381_n.png
39.3825,47.2781,348.2,0.4,0.37,2021-06-17,936,N20,VIIRS,l,2.0NRT,312.0,13.4,D,,/PhotoFile4Wildfire/39.38251_47.27814_l.png
39.4286,46.4781,346.6,0.39,0.36,2021-06-22,942,N20,VIIRS,l,2.0NRT,320.2,10.5,D,,/PhotoFile4Wildfire/39.4286_46.47807_l.png
39.4691,46.7613,345.3,0.39,0.36,2021-06-27,948,N20,VIIRS,l,2.0NRT,318.6,6.3,D,,/PhotoFile4Wildfire/39.46906_46.76131_l.png
39.5206,46.6156,354.7,0.39,0.59,2021-06-30,1036,N20,VIIRS,n,2.0NRT,303.1,6.0,D,,/PhotoFile4Wildfire/39.5206_46.61557_n.png
39.0923,46.6719,344.4,0.54,0.42,2021-07-12,1006,N20,VIIRS,n,2.0NRT,313.6,10.1,D,,/PhotoFile4Wildfire/39.09227_46.67192_n.png
41.4948,46.2521,337.4,0.39,0.44,2021-07-20,918,N20,VIIRS,l,2.0NRT,310.5,7.5,D,,/PhotoFile4Wildfire/41.49476_46.25208_l.png
39.5108,46.9625,346.2,0.55,0.51,2021-07-22,1024,N20,VIIRS,n,2.0NRT,314.7,16.7,D,,/PhotoFile4Wildfire/39.51075_46.96251_n.png
41.1678,47.1066,355.7,0.35,0.57,2021-07-27,1030,N20,VIIRS,n,2.0NRT,301.6,9.4,D,,/PhotoFile4Wildfire/41.16785_47.1066_n.png
39.716,46.5643,332.66,0.59,0.53,2021-08-11,909,N20,VIIRS,l,2.0NRT,304.45,5.59,D,,/PhotoFile4Wildfire/39.71605_46.5643_l.png
39.7153,46.5678,333.48,0.13,0.36,2021-08-11,1049,N20,VIIRS,n,2.0NRT,302.06,5.55,D,,/PhotoFile4Wildfire/39.7153_46.56782_n.png
39.6673,46.9663,355.02,-2.27,-4.11,2021-08-16,1056,N20,VIIRS,n,2.0NRT,298.87,25.1,D,,/PhotoFile4Wildfire/39.6673_46.96631_n.png
39.6603,46.9843,367.0,-2.27,-4.11,2021-08-16,1056,N20,VIIRS,h,2.0NRT,294.75,27.07,D,,/PhotoFile4Wildfire/39.66029_46.98427_h.png
39.7679,46.5728,339.03,0.42,0.37,2021-08-19,1000,N20,VIIRS,l,2.0NRT,312.68,3.77,D,,/PhotoFile4Wildfire/39.7679_46.57275_l.png
40.2466,46.6523,334.75,0.42,0.38,2021-08-19,1000,N20,VIIRS,n,2.0NRT,306.23,3.85,D,,/PhotoFile4Wildfire/40.2466_46.65226_n.png
40.2669,46.6676,333.22,0.39,0.44,2021-08-21,922,N20,VIIRS,n,2.0NRT,299.22,6.17,D,,/PhotoFile4Wildfire/40.26693_46.66759_n.png
41.0593,47.6975,331.45,0.51,0.66,2021-08-26,2146,N20,VIIRS,n,2.0NRT,283.83,4.03,N,,/PhotoFile4Wildfire/41.0593_47.69754_n.png
39.1153,48.8682,341.81,0.49,0.41,2021-09-22,922,N20,VIIRS,n,2.0NRT,309.71,13.59,D,,/PhotoFile4Wildfire/39.11527_48.8682_n.png
39.6814,49.144,335.9,1.0,1.0,2020-05-20,736,Terra,MODIS,73,6.03,309.8,23.9,D,0.0,/PhotoFile4Wildfire/39.6814_49.144_73.png
39.6899,44.7295,368.6,3.4,1.7,2020-07-30,923,Aqua,MODIS,100,6.03,301.2,569.0,D,0.0,/PhotoFile4Wildfire/39.6899_44.7295_100.png
39.2115,48.6727,343.6,1.0,1.0,2020-08-08,737,Terra,MODIS,84,6.03,311.4,32.6,D,0.0,/PhotoFile4Wildfire/39.2115_48.6727_84.png
38.943,46.5297,333.0,1.3,1.1,2020-10-30,807,Terra,MODIS,86,6.03,301.0,40.0,D,0.0,/PhotoFile4Wildfire/38.943_46.5297_86.png
39.7737,46.8607,306.7,1.3,1.1,2020-10-30,807,Terra,MODIS,42,6.03,295.2,5.4,D,0.0,/PhotoFile4Wildfire/39.7737_46.8607_42.png
39.6948,46.8962,314.6,1.3,1.1,2020-10-30,807,Terra,MODIS,71,6.03,294.3,15.3,D,0.0,/PhotoFile4Wildfire/39.6948_46.8962_71.png
39.3179,48.65,336.37,0.51,0.41,2022-04-10,921,N,VIIRS,n,2,304.37,10.19,D,0.0,/PhotoFile4Wildfire/39.31789_48.65_n.png
41.2114,48.8078,349.2,0.46,0.39,2022-08-16,922,N,VIIRS,l,2,323.73,36.08,D,0.0,/PhotoFile4Wildfire/41.2114_48.80783_l.png
